GAME_ID,GAME_DATE,HOME_TEAM,home_win,SEASON_ID,HOME_PTS_ROLL5,HOME_REB_ROLL5,HOME_AST_ROLL5,HOME_STL_ROLL5,HOME_BLK_ROLL5,HOME_TOV_ROLL5,HOME_FG_PCT_ROLL5,HOME_FG3_PCT_ROLL5,HOME_FT_PCT_ROLL5,HOME_PLUS_MINUS_ROLL5,HOME_PTS_ROLL10,HOME_REB_ROLL10,HOME_AST_ROLL10,HOME_STL_ROLL10,HOME_BLK_ROLL10,HOME_TOV_ROLL10,HOME_FG_PCT_ROLL10,HOME_FG3_PCT_ROLL10,HOME_FT_PCT_ROLL10,HOME_PLUS_MINUS_ROLL10,HOME_OPP_PTS_ROLL5,HOME_OPP_PTS_ROLL10,HOME_REST_DAYS,HOME_WIN_STREAK,AWAY_TEAM,AWAY_PTS_ROLL5,AWAY_REB_ROLL5,AWAY_AST_ROLL5,AWAY_STL_ROLL5,AWAY_BLK_ROLL5,AWAY_TOV_ROLL5,AWAY_FG_PCT_ROLL5,AWAY_FG3_PCT_ROLL5,AWAY_FT_PCT_ROLL5,AWAY_PLUS_MINUS_ROLL5,AWAY_PTS_ROLL10,AWAY_REB_ROLL10,AWAY_AST_ROLL10,AWAY_STL_ROLL10,AWAY_BLK_ROLL10,AWAY_TOV_ROLL10,AWAY_FG_PCT_ROLL10,AWAY_FG3_PCT_ROLL10,AWAY_FT_PCT_ROLL10,AWAY_PLUS_MINUS_ROLL10,AWAY_OPP_PTS_ROLL5,AWAY_OPP_PTS_ROLL10,AWAY_REST_DAYS,AWAY_WIN_STREAK,DIFF_PTS_ROLL5,DIFF_REB_ROLL5,DIFF_AST_ROLL5,DIFF_STL_ROLL5,DIFF_BLK_ROLL5,DIFF_TOV_ROLL5,DIFF_FG_PCT_ROLL5,DIFF_FG3_PCT_ROLL5,DIFF_FT_PCT_ROLL5,DIFF_PLUS_MINUS_ROLL5,DIFF_OPP_PTS_ROLL5,DIFF_PTS_ROLL10,DIFF_REB_ROLL10,DIFF_AST_ROLL10,DIFF_STL_ROLL10,DIFF_BLK_ROLL10,DIFF_TOV_ROLL10,DIFF_FG_PCT_ROLL10,DIFF_FG3_PCT_ROLL10,DIFF_FT_PCT_ROLL10,DIFF_PLUS_MINUS_ROLL10,DIFF_OPP_PTS_ROLL10,DIFF_REST_DAYS,DIFF_WIN_STREAK
22200327,2022-12-02,ATL,1,22022,112.2,41.6,22.4,7.8,4.8,14.2,0.4726,0.3448,0.8362,1.8,111.8,42.6,22.3,6.8,4.3,14.0,0.46430000000000005,0.31470000000000004,0.8332,-2.3,110.4,114.1,2.0,1,DEN,120.4,43.8,29.4,6.8,6.6,13.8,0.5138,0.379,0.751,9.8,114.0,41.5,27.0,6.5,4.8,13.5,0.49609999999999993,0.3824,0.7726,2.3,110.6,111.7,2.0,4,-8.200000000000003,-2.1999999999999957,-7.0,1.0,-1.7999999999999998,0.3999999999999986,-0.041200000000000014,-0.03420000000000001,0.08520000000000005,-8.0,-0.19999999999998863,-2.200000000000003,1.1000000000000014,-4.699999999999999,0.2999999999999998,-0.5,0.5,-0.031799999999999884,-0.06769999999999998,0.0606000000000001,-4.6,2.3999999999999915,0.0,-3
22200354,2022-12-05,ATL,0,22022,112.6,40.8,22.6,7.4,4.2,14.0,0.4948,0.3428,0.7734,1.6,112.6,42.6,22.7,7.1,4.4,13.3,0.47509999999999997,0.3254,0.8122999999999999,-0.3,111.0,112.9,3.0,2,OKC,116.6,46.4,20.4,9.0,4.2,16.0,0.45039999999999997,0.308,0.8162,0.4,118.1,44.0,23.2,6.9,5.5,15.0,0.4666,0.35300000000000004,0.8000999999999999,-2.7,116.2,120.8,2.0,2,-4.0,-5.600000000000001,2.200000000000003,-1.5999999999999996,0.0,-2.0,0.04440000000000005,0.0348,-0.04280000000000006,1.2000000000000002,-5.200000000000003,-5.5,-1.3999999999999986,-0.5,0.1999999999999993,-1.0999999999999996,-1.6999999999999993,0.008499999999999952,-0.027600000000000013,0.012199999999999989,2.4000000000000004,-7.8999999999999915,1.0,0
22200400,2022-12-11,ATL,1,22022,112.2,44.6,22.0,7.6,4.0,14.2,0.48040000000000005,0.29219999999999996,0.7727999999999999,-2.0,109.9,41.7,22.1,8.0,4.4,14.7,0.4659000000000001,0.32589999999999997,0.8138,-3.0,114.2,112.9,2.0,-3,CHI,116.8,40.6,25.6,8.0,4.2,13.8,0.5077999999999999,0.3694,0.7834,-0.6,116.3,43.2,25.7,7.6,4.7,13.1,0.49090000000000006,0.3634,0.7951,1.8,117.4,114.5,1.0,2,-4.599999999999994,4.0,-3.6000000000000014,-0.40000000000000036,-0.20000000000000018,0.3999999999999986,-0.02739999999999987,-0.07720000000000005,-0.010600000000000054,-1.4,-3.200000000000003,-6.3999999999999915,-1.5,-3.599999999999998,0.40000000000000036,-0.2999999999999998,1.5999999999999996,-0.024999999999999967,-0.03750000000000003,0.01869999999999994,-4.8,-1.5999999999999943,1.0,-5
22200454,2022-12-19,ATL,1,22022,118.2,40.4,24.8,6.6,4.4,15.2,0.4756,0.37239999999999995,0.8246,-4.0,113.7,42.9,23.9,6.6,4.4,14.9,0.47850000000000004,0.3422,0.7794000000000001,-2.9,122.2,116.6,3.0,1,ORL,114.2,46.0,23.2,6.4,4.2,16.6,0.4822,0.3936,0.8592000000000001,7.6,110.1,43.7,22.5,6.8,3.7,16.2,0.4673,0.35409999999999997,0.8451000000000001,-0.5,106.6,110.6,1.0,6,4.0,-5.600000000000001,1.6000000000000014,0.1999999999999993,0.20000000000000018,-1.4000000000000021,-0.006599999999999995,-0.021200000000000052,-0.034600000000000075,-11.6,15.600000000000009,3.6000000000000085,-0.8000000000000043,1.3999999999999986,-0.20000000000000018,0.7000000000000002,-1.299999999999999,0.011200000000000043,-0.011899999999999966,-0.06569999999999998,-2.4,6.0,2.0,-5
22200468,2022-12-21,ATL,0,22022,120.2,41.0,26.4,5.6,4.2,13.6,0.4788,0.37839999999999996,0.8295999999999999,-3.0,116.2,42.8,24.2,6.6,4.1,13.9,0.4795999999999999,0.3353,0.8012,-2.5,123.2,118.7,2.0,2,CHI,114.4,38.4,26.8,6.6,3.2,15.8,0.5134000000000001,0.364,0.8295999999999999,-9.2,115.6,39.5,26.2,7.3,3.7,14.8,0.5106,0.36669999999999997,0.8065,-4.9,123.6,120.5,1.0,1,5.799999999999997,2.6000000000000014,-0.40000000000000213,-1.0,1.0,-2.200000000000001,-0.034600000000000075,0.014399999999999968,0.0,6.199999999999999,-0.3999999999999915,0.6000000000000085,3.299999999999997,-2.0,-0.7000000000000002,0.39999999999999947,-0.9000000000000004,-0.03100000000000014,-0.031399999999999983,-0.005299999999999971,2.4000000000000004,-1.7999999999999972,1.0,1
22200481,2022-12-23,ATL,1,22022,117.2,41.4,25.2,6.2,4.4,13.6,0.4686,0.38739999999999997,0.8772,-3.6,114.5,42.6,23.9,6.4,4.5,14.2,0.46819999999999995,0.34809999999999997,0.8223,-4.4,120.8,118.9,2.0,-1,DET,115.8,45.6,20.8,5.6,2.6,15.6,0.47000000000000003,0.3366,0.7769999999999999,-8.0,112.5,43.6,22.5,6.3,3.2,15.0,0.4535,0.3566,0.7828999999999999,-5.4,123.8,117.9,2.0,-4,1.4000000000000057,-4.200000000000003,4.399999999999999,0.6000000000000005,1.8000000000000003,-2.0,-0.0014000000000000123,0.050799999999999956,0.10020000000000007,4.4,-3.0,2.0,-1.0,1.3999999999999986,0.10000000000000053,1.2999999999999998,-0.8000000000000007,0.014699999999999935,-0.008500000000000008,0.0394000000000001,1.0,1.0,0.0,3
22200517,2022-12-28,ATL,0,22022,120.6,43.8,26.4,6.0,5.2,11.2,0.49379999999999996,0.40459999999999996,0.8632,5.6,115.8,41.9,24.7,6.4,4.9,12.9,0.4676,0.35350000000000004,0.8407,-3.5,115.0,119.3,1.0,-1,BKN,125.8,37.4,29.4,7.6,4.8,14.4,0.5731999999999999,0.5074,0.8518000000000001,12.4,121.1,40.9,27.1,7.2,5.4,15.0,0.5397000000000001,0.43200000000000005,0.8109,7.6,113.4,113.5,2.0,9,-5.200000000000003,6.399999999999999,-3.0,-1.5999999999999996,0.40000000000000036,-3.200000000000001,-0.07939999999999997,-0.1028,0.011399999999999855,-6.800000000000001,1.5999999999999943,-5.299999999999997,1.0,-2.400000000000002,-0.7999999999999998,-0.5,-2.0999999999999996,-0.07210000000000005,-0.07850000000000001,0.02980000000000005,-11.1,5.799999999999997,-1.0,-10
22200530,2022-12-30,ATL,0,22022,117.0,45.0,25.8,6.4,5.4,9.2,0.471,0.374,0.8347999999999999,1.6,117.6,42.7,25.3,6.5,4.9,12.2,0.47329999999999994,0.37320000000000003,0.8297000000000001,-1.2,115.4,118.8,2.0,-2,LAL,118.4,41.2,25.4,4.4,2.8,16.4,0.507,0.3934,0.7894,-4.4,118.3,42.3,25.2,5.7,4.1,14.4,0.5031000000000001,0.3866,0.7758999999999999,-2.5,122.8,120.8,2.0,-1,-1.4000000000000057,3.799999999999997,0.40000000000000213,2.0,2.6000000000000005,-7.199999999999999,-0.03600000000000003,-0.01940000000000003,0.045399999999999885,6.0,-7.3999999999999915,-0.7000000000000028,0.4000000000000057,0.10000000000000142,0.7999999999999998,0.8000000000000007,-2.200000000000001,-0.02980000000000016,-0.013399999999999967,0.05380000000000018,1.3,-2.0,0.0,-1
22200620,2023-01-11,ATL,0,22022,121.6,44.0,23.8,7.8,6.6,12.0,0.48980000000000007,0.3068,0.8019999999999999,-4.0,119.3,44.5,24.8,7.1,6.0,10.6,0.48039999999999994,0.3404,0.8183999999999999,-1.2,125.6,120.5,3.0,1,MIL,108.4,51.8,24.8,6.2,4.4,17.4,0.422,0.3356,0.7954,-7.0,110.2,51.8,22.6,6.5,4.3,17.6,0.43550000000000005,0.32789999999999997,0.7595,-7.9,115.4,118.1,2.0,1,13.199999999999989,-7.799999999999997,-1.0,1.5999999999999996,2.1999999999999993,-5.399999999999999,0.06780000000000008,-0.028799999999999992,0.006599999999999939,3.0,10.199999999999989,9.099999999999994,-7.299999999999997,2.1999999999999993,0.5999999999999996,1.7000000000000002,-7.000000000000002,0.044899999999999884,0.012500000000000011,0.05889999999999995,6.7,2.4000000000000057,1.0,0
22200661,2023-01-16,ATL,1,22022,111.6,42.6,23.2,6.4,6.0,11.6,0.46959999999999996,0.37139999999999995,0.8240000000000001,-1.6,116.1,44.0,23.7,6.5,5.8,11.0,0.4727,0.3557,0.7998000000000001,-3.2,113.2,119.3,2.0,2,MIA,107.2,46.2,19.6,9.0,3.0,13.8,0.43740000000000007,0.351,0.8632,6.0,111.2,43.2,21.7,9.8,3.0,12.6,0.45309999999999995,0.34110000000000007,0.8343,4.9,101.2,106.3,2.0,3,4.3999999999999915,-3.6000000000000014,3.599999999999998,-2.5999999999999996,3.0,-2.200000000000001,0.032199999999999895,0.020399999999999974,-0.0391999999999999,-7.6,12.0,4.8999999999999915,0.7999999999999972,2.0,-3.3000000000000007,2.8,-1.5999999999999996,0.019600000000000062,0.014599999999999946,-0.034499999999999975,-8.100000000000001,13.0,0.0,-1
